state,fy,elem_rev_cr,sec_rev_cr,gen_rev_cr,elem_cap_cr,sec_cap_cr,elem_rev_self_validated,sec_rev_self_validated,gen_rev_self_validated,elem_cap_self_validated,sec_cap_self_validated,source_statement,source_url,elem_rev_source_line,sec_rev_source_line,gen_rev_source_line,elem_cap_source_line,sec_cap_source_line
Assam,2024-25,10955.8876,6409.7571,82.1378,615.701,391.5509,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-24-25-Assam-24-12-2025-0699bdd31972846-72848880.pdf,"Total 01                                                           8,58,047.50         2,3","Total 02                                                              6,14,907.56         ","Total 80                                                                  2,766.82        ","Total 201 Elementary Education :                                    18,790.38       42,779","Total 202 Secondary Education :                                    14,513.55       24,641."
Bihar,2021-22,,,,0.0,,,,,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2021-22-Bihar-English-14-12-2022-06437f6d9889694-56493467.pdf,,,,Building Construction of Elementary School                           0.00           0.00  ,Land for Sainik School                                         0.00            0.00
Bihar,2022-23,,,,,,,,,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2022-23-English-09-12-2023-065e01c4a8212a3-53815950.pdf,,,,Construction and Arrangement of drinking                         0.00             0.00,Land for Sainik School                                         0.00            0.00
Bihar,2023-24,,,,,,,,,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-2023-24-Vol-II-Bihar-English-067e4ed97ed7ec8-78418916.pdf,,,,recommendation of the 8th Finance Commission                         0.00           0.00,"Government Recognised Schools                                  0.00       72,687.22"
Bihar,2024-25,,,,,,,,,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Account-Volume-II-BIHAR-ENGLISH-2024-25-31-01-2026-069a013611b9233-45674079.pdf,,,,recommendation of the 8th Finance Commission                               0.00,"Government Recognised Schools                                  0.00    106,166.22"
Chhattisgarh,2021-22,,6519.2166,43.8783,25.5953,49.5526,False,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-ENGLISH-VOLUME-2-063ce1faadd96e2-65152203.pdf,"TOTAL - 01                    6,71,191.70      1,28,346.15   79,95,373.85       7,34,566.8","TOTAL - 02                    6,38,224.49        13,697.17     6,51,921.66      5,86,868.0","TOTAL - 80                           4,297.84            89.99       4,387.83          4,0","Total 201                   1,739.74     2,559.53                0.00    2,559.53   48,973","Total 202                  8,184.30     4,712.09             243.17     4,955.26   1,26,31"
Chhattisgarh,2022-23,8929.6853,7460.4073,,25.5228,30.2126,True,True,False,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-8-Finance-Account-Volume-II-065cb58c85fe978-29899990.pdf,"TOTAL - 01                    7,86,616.72         1,06,351.81     8,92,968.53    79,95,373","TOTAL - 02                    7,29,269.43           16,771.30     7,46,040.73     6,51,921","TOTAL - 80 2,580.13             281.05         2,862.95       4,387.83           (-) 34.75","Total 201                   2,559.53     2,552.28                0.00    2,552.28   51,525","Total 202                  4,955.26     3,021.26                0.00    3,021.26   1,29,33"
Chhattisgarh,2023-24,9823.178,8617.8725,,341.1648,,True,True,False,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Account-Vol-2-English-067651e09896f21-18190555.pdf,"TOTAL - 01                                               8,76,186.18                1,06,1","TOTAL - 02                                              8,43,857.60                    17,","TOTAL - 80 2,772.98                0.00        2,786.35       2,862.95            (-) 2.68","Total 201                   2,552.28    34,116.48               0.00   34,116.48   85,642.","Secondary School Building                  1,858.50     1,360.83               0.00    1,3"
Chhattisgarh,2024-25,10549.8654,9743.6822,,26.7087,43.0111,True,True,False,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FINANCE-ACCOUNTS-VOL-02-English-069bb9598898702-21523706.pdf,"TOTAL - 01                   9,65,117.60          89,868.94    10,54,986.54     9,82,317.8","TOTAL - 02 9,51,529.90          21,280.27     9,74,368.22     8,61,787.25             (+)1","TOTAL - 80 (-)7,146.80               0.00     (-)7,132.21       2,786.35           (-)355.","Total- 201                      34,116.48      2,670.87                0.00       2,670.87","Total- 202                          3,160.51     4,301.11                0.00      4,301.1"
Gujarat,2021-22,16834.0931,6579.0868,246.3787,303.0281,57.982,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-VOL-II-2021-22-0642a7eaa542548-19209741.pdf,"Total - 01                     3,000.00             ...              ...                ..","Total - 02                  6,57,908.68              ...              ...      6,57,908.68","Total - 80                           19,843.32                  ...        4,794.55       ","Total - 201    32,564.94    24,802.81    ...    5,500.00    30,302.81    5,88,732.71    (-","Total - 202   3,571.85     5,798.20     ...   ...   5,798.20     1,18,689.46   (+)62.33"
Gujarat,2022-23,20955.6126,6825.7397,269.4608,2860.8635,92.1543,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2022-23-Volume-2-065e1cd0bc8f857-53221550.pdf,"Total - 01                            3,000.00                   ...              ...     ","Total - 02   6,74,266.59          ...       8,307.38       6,82,573.97    6,57,908.68     ","Total - 80      23,632.58           ...      3,313.50        26,946.08       24,637.87    ","Total - 201    30,302.81     2,77,035.30     ...   9,051.05     2,86,086.35     8,74,819.0","Total - 202     5,798.20        6,583.39     ...   2,632.04        9,215.43     1,27,904.8"
Gujarat,2023-24,21589.1787,7721.8096,352.7286,2775.3766,52.5702,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2023-24-067ebc71e89c1f1-35908776.pdf,"Total - 01          3,000.00                     ..                ...              ...   ","Total - 02   7,59,039.97         13,140.99    7,72,180.96   6,82,573.97    (+)13.13","Total - 80          33,622.24             1,650.62       35,272.86       26,946.08        ","Total - 201     2,86,086.35      2,67,965.33    9,572.33    2,77,537.66    11,52,356.72   ","Total - 202        9,215.43         5,257.02           ..      5,257.02     1,33,161.91   "
Gujarat,2024-25,23057.9116,8287.6601,535.3271,2925.8547,201.703,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-VOL-II-2024-25-069c52af8d4f245-78414170.pdf,"Total - 01                      3,000.00    ..                      ..                   .","Total - 02   8,12,285.95 ..     16,480.06    8,28,766.01   7,72,180.96     (+)7.33","Total - 80                    51,748.61 ..                  1,784.10           53,532.71  ","Total - 201    2,77,537.66     2,78,242.16   14,343.31   2,92,585.47   14,44,942.18    (+)","Total - 202     5,257.02      17,216.65    2,953.65   20,170.30    1,53,332.21   (+)283.68"
Haryana,2021-22,7417.9478,4778.5757,,20.0,270.343,True,True,,False,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2021-22-063b2c6513b6a96-31291871.pdf,"Total -01   7,08,828.21     32,966.57      7,41,794.78     7,19,945.37                 3.0","Total -02     4,47,262.95      30,594.62        4,77,857.57    4,23,480.95                ",,201 Elementary Education                                                                  ,"202 Secondary Education                                                              12,45"
Haryana,2022-23,8264.0948,6571.6384,,19.808,160.1449,True,True,,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2022-23-0658029704ce7c9-88051893.pdf,"Total -01   7,66,627.65           59,781.83     8,26,409.48     7,41,794.78               ","Total -02   6,17,772.07            39,391.77           6,57,163.84    4,77,857.57         ",,201 Elementary Education                                                                 2,"202 Secondary Education                                                              27,03"
Haryana,2023-24,8529.1272,5654.8917,,,,True,True,,False,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2023-24-067ced4cd4434a4-10058366.pdf,"Total -01               8,19,943.70               32,969.02      8,52,912.72   8,26,409.48","Total -02   5,48,565.48           16,923.69          5,65,489.17   6,57,163.84            ",,201 Elementary Education,
Haryana,2024-25,9385.7221,6414.7826,,,,True,True,,False,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2024-25-2-069493484db5506-81988701.pdf,"Total - 01         8,79,872.15                  58,700.06   9,38,572.21         8,52,912.7","Total - 02         6,13,613.95                  27,864.31   6,41,478.26         5,65,489.1",,201 Elementary Education,
Himachal Pradesh,2022-23,,3464.9689,42.746,16.4271,92.2526,False,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-2022-23-Vol-II-HP-English-04-12-2023-065925121df5a54-05734212.pdf,"Total -01                                                               3,84,466.94       ","Total -02                                                 3,25,020.33              21,457.","Total -80                                                                 2,608.22        ","201 Elementary Education                                              1,949.34        1,64","202 Secondary Education                                              10,904.76        9,22"
Himachal Pradesh,2023-24,3950.6757,3295.9208,14.0247,13.5001,75.1496,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2023-24-HP-English-14-02-2025-067ee2ceaa44c76-55634028.pdf,"Total - 01                                                   46.77 3,46,025.66     48,995.","Total - 02                                                  222.10 3,05,189.62    24,180.3","Total - 80                                                                      1,402.47  ","201 Elementary Education                                    1,642.71      1,350.01        ","202 Secondary Education                                     9,225.26      7,514.96        "
Himachal Pradesh,2024-25,4339.3139,3484.643,,8.5603,84.1799,True,True,False,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2024-25-English-26-12-2025-069ccf7f4c11343-22376520.pdf,"Total - 01                                      3,61,787.27     72,144.12     4,33,931.39 ","Total - 02                                       3,19,073.55     29,335.03     3,48,464.30","Total - 80                                          1,947.27             ...      1,947.27","201 Elementary Education                                   1,350.01          856.03      .","202 Secondary Education                                    7,514.96        8,417.99      ."
Jharkhand,2021-22,6812.0618,2257.5403,,0.0,0.0,True,True,,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-V-2-2021-22-Eng-063dca8243111e5-13694047.pdf,"Total - 01     3,80,453.48     1,97,135.14    1,03,617.56     6,81,206.18       6,26,490.2","Total - 02      79,220.44      1,46,533.59             0.00    2,25,754.03       1,83,209.",,"Total - 201        0.00        0.00           0.00           0.00           0.00       1,8","Total - 202        0.00        0.00           0.00           0.00           0.00     12,15"
Jharkhand,2022-23,7541.4621,1848.772,,0.0,0.0,True,True,,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-Vol-2-2022-23-English-Final-06593f551d3cac9-94837870.pdf,"Total - 01     3,98,970.24     1,92,062.15    1,63,113.82    7,54,146.21   6,81,206.18    ","Total - 02    81,969.10      1,02,908.10            0.00   1,84,877.20    2,25,754.03     ",,"Total - 201        0.00        0.00      5,063.24            0.00   5,063.24        6,944.","Total - 202        0.00        0.00     38,140.44            0.00   38,140.44     50,293.8"
Jharkhand,2023-24,,2337.743,0.0,27.9623,254.459,False,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-2-2023-24-ENGLISH-067caac018f1bf9-35780613.pdf,"Total - 01    4,15,421.45     1,82,818.79    1,38,791.09      7,37,019.95   7,54,146.21   ","Total - 02 1,06,096.31    1,27,677.99           0.00    2,33,774.30   1,84,877.20         ","Total - 80           0.00        4,000.00              0.00         4,000.00            0.","Total - 201    5,063.24        0.00      2,796.23            0.00   2,796.23       9,741.1","Total - 202   38,140.44        0.00     25,445.90            0.00   25,445.90     75,739.7"
Jharkhand,2024-25,7879.038,2745.8396,0.0,13.2092,216.6296,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-2-2024-25-ENGLISH-FINAL-0693c0f22646dd3-39260604.pdf,"Total - 01      3,76,572.87    2,60,047.05    1,51,283.88      7,87,903.80   7,37,019.95  ","Total - 02    2,03,494.30       71,089.66           0.00     2,74,583.96    2,33,774.30   ","Total - 80            0.00            0.00           0.00              0.00       4,000.00","Total - 201     2,796.23       0.00      1,320.92          0.00   1,320.92     11,062.09  ","Total - 202     25,445.90        0.00    21,662.96           0.00   21,662.96     97,402.6"
Karnataka,2021-22,16416.8883,7696.6492,402.7655,,179.7086,True,True,True,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2021-22-063a98634a74042-25142059.pdf,"Total 01                                                          16,41,688.83            ","Total 02                                                           7,69,664.92            ","Total 80                                                            40,276.55       11,250","Infrastructure for Primary Schools                                     44,666.12","Infrastructure facilities for High School (SDP) and PU College         11,578.17          "
Karnataka,2022-23,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Account-Vol-II-2022-23.pdf,,,,,
Karnataka,2023-24,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-3-Part-I-Finance-Accounts-Vol-II-2023-24-Edit-0675c12f157be78-41111978.pdf,,,,,
Karnataka,2024-25,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/3.Finance Accounts Vol.II_Part-I 2024-25_government_of_karnataka.pdf,,,,,
Kerala,2021-22,9760.8133,10385.1887,53.7759,0.0,223.7045,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2021-22-Vol-II-Eng-063e47e4b139362-81881249.pdf,"Total - 01     8,81,195.66         39,366.94      55,518.73   9,76,081.33      6,14,234.46","Total - 02   10,21,399.16         17,112.63               10,38,518.87      6,54,495.04   ","Total - 80       4,436.37           941.22                       5,377.59         4,554.35",201 Elementary Education                                                                  ,"202 Secondary Education                                                     22,370.45     "
Kerala,2022-23,,8859.1692,51.853,26.9193,290.9076,False,True,True,True,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2022-23-Vol-II-Eng-065cda30f2e95e8-02014173.pdf,"Total - 01    7,42,070.35         71,429.17      37,792.60   8,51,294.28      9,76,081.33 ","Total - 02   8,70,157.56         15,756.97        8,85,916.92     10,38,518.87         (-)","Total - 80       3,611.70           1,573.60                       5,185.30        5,377.5","201 Elementary Education                                                               1,0","202 Secondary Education                                                               29,0"
Kerala,2023-24,8278.2142,8848.0014,67.4396,76.8332,349.8104,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-Vol-II-069b7f8d4690d13-96222241.pdf,"Total - 01    7,38,046.01         44,575.04        45,180.21   8,27,821.42      8,51,294.2","Total - 02    8,64,791.92            16,692.70             3,304.35    8,84,800.14      8,","Total - 80               3,851.79            2,357.82           534.35       6,743.96     ","201 Elementary Education                                                              3,07",Total - 202                                                                               
Kerala,2024-25,9008.3434,,50.4168,69.0051,68.9655,True,False,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finace-Accounts-Vol-II-2024-25-0699d3699c2fc89-06955502.pdf,"Total - 01      7,77,090.42         66,921.67   56,808.97     9,00,834.34      8,27,821.42","Total - 02      9,14,126.39          13,914.72                9,28,140.69      8,84,800.14","Total - 80          3,960.97          1,080.71                    5,041.68         6,743.9","201 Elementary Education                                           7,683.32               ","Education                                                6,398.77                       6,"
Madhya Pradesh,2021-22,22059.0571,4167.5019,,120.2001,594.4674,True,True,False,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2021-22-Vol-II-MP-English-063aad130258ae4-38673105.pdf,"Total - 01    19,60,336.35            2,45,569.36      22,05,905.71     21,41,492.24      ","Total - 02        3,84,854.96           31,895.23       4,16,750.19      4,36,248.40      ","Total - 80       4,605.44                      --         4,612.54         4,930.88       ","Total - 201     34,190.70         2,055.36             9,964.65    12,020.01     2,17,694.","Total - 202     33,246.20        35,263.47            24,183.27    59,446.74     2,02,628."
Madhya Pradesh,2022-23,23912.0666,4920.6956,,58.8473,317.6085,True,True,False,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-MP-2022-23-Vol-II-English-065ca08c706e6f0-88128429.pdf,"Total - 01   22,22,487.36            1,68,719.30        23,91,206.66    22,05,905.71      ","Total - 02    4,71,280.23              20,789.33      4,92,069.56        4,16,750.19      ","Total - 80      11,808.97                    --        11,808.97       4,612.54           ","Total - 201     12,020.01          239.72             5,645.01     5,884.73     2,23,578.7","Total - 202     59,446.74       30,039.55             1,721.30    31,760.85     2,34,389.7"
Madhya Pradesh,2023-24,26715.6535,5891.5131,,425.2933,279.7879,True,True,False,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-Vol-II-MP-English-0676554730c12d8-41950225.pdf,"Total - 01    24,26,514.55            2,45,050.80      26,71,565.35   23,91,206.66        ","Total - 02     5,50,371.77              38,779.54      5,89,151.31        4,92,069.56     ","Total - 80       18,354.74                    --      18,354.74       11,808.97           ","Total - 201       5,884.73       19,323.48            23,205.85     42,529.33     2,66,108","Total - 202      31,760.85       23,779.76             4,199.03     27,978.79     2,62,368"
Madhya Pradesh,2024-25,28456.3954,6548.4508,,,763.2312,True,True,False,False,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-VOLUME-II-2024-25-Gwalior-MP-English-06932b1b862d749-49571374.pdf,"Total - 01    25,91,354.76             2,54,284.78     28,45,639.54     26,71,565.35      ","Total - 02     6,22,424.29              32,420.79       6,54,845.08      5,89,151.31      ","Total - 80       24,405.52                   --        24,414.12       18,354.74          ",201-Elementary       EducationWall of Schools                                             ,202 -Secondary Education                                                     Total - 201  
Maharashtra,2023-24,,,,189.946,77.9844,,,,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-VOL-II-0676693fd9db782-28932133.pdf,,,,201 - Elementary Education-Buildings                                     .. ..            ,202 - Secondary Education-Buildings                                      .. ..            
Maharashtra,2024-25,,,,72.5,155.5,,,,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-CD-ENGLISH-FINANCE-ACCOUNTS-VOL-II-06944f1067a9530-56372221.pdf,,,,201 - Elementary Education-Buildings                                     .. ..            ,202 - Secondary Education-Buildings                                      .. ..            
Manipur,2021-22,583.6604,544.2405,59.4821,1.08,0.0,True,True,True,False,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2021-22-Manipur-14-12-2022-1-06405be99e4d209-35122987.pdf,"Total 01                                                        50,051.07          8,314.9","Total 02                                                          41,646.01         12,778","Total 80                                                             4,674.62         1,27",201 Elementary Education                                             205            108.00,202 Secondary Education                                          435.16                …  
Manipur,2022-23,643.1896,475.6104,410.9613,0.0,1.1368,True,True,True,True,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2022-23-Manipur-13-02-2024-065e1f54b005599-31786214.pdf,"Total 01                                                         61,782.51         2,536.4","Total 02                                                          47,561.04               ","Total 80                                                             9,048.51       32,047",201 Elementary Education                                         108.00                …  ,202 Secondary Education                                               …             113.68
Manipur,2023-24,809.0086,539.1313,452.7338,,0.0,True,True,True,False,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2023-24-Manipur-24-03-2025-069c1242980b241-76178901.pdf,"Total 01                                                         76,418.92          4,481.","Total 02                                                          53,913.13               ","Total 80                                                             7,249.05       38,024",201 Elementary Education                                         …              …         ,202 Secondary Education                                      113.68             …         
Manipur,2024-25,,,,,,,,,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-Manipur-2024-25-069c12547b6c608-78792443.pdf,,,,201 Elementary Education                                                                  ,202 Secondary Education                                                                   
Meghalaya,2021-22,1359.6725,462.0751,51.4486,0.9509,19.5762,True,True,True,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2021-22-GoMeghalaya-06422c0fdceef90-77312363.pdf,"Total 01                                                     … 1,08,697.87      27,269.38 ","Total 02                                                     …   46,185.20       22.31    ",Total 80                                                                          …      3,Total 201                                   67.26      95.09           ...      95.09     ,"Total 202                                      ...   1,957.62          ...    1,957.62    "
Meghalaya,2022-23,1667.3593,511.3388,47.66,10.16,6.9894,True,True,True,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-Meghalaya-065ddc9531cdb03-98896683.pdf,"Total 01                                       … 1,15,142.84      51,593.09   1,66,735.93 ","Total 02                                          …    51,000.95        132.93    51,133.8","Total 80                                          …     3,305.67        1,460.33     4,766","Total 201                                   95.09     1,016.00            ...   1,016.00  ","Total 202                                 1,957.62     698.94             ...    698.94   "
Meghalaya,2023-24,1973.1852,528.5161,53.2982,46.8748,9.7277,True,True,True,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Signed-Finance-Accounts-Vol-II-2023-24-067d2cdc0b45c87-35051094.pdf,"Total 01                                       …   1,42,386.13    54,932.39   1,97,318.52 ","Total 02                                           …     52,834.44       17.17    52,851.6","Total 80                                           …      3,700.06       1,629.76     5,32","Total 201                                 1,016.00    4,687.48            ...   4,687.48  ",Total 202                                  698.94      972.77             ...    972.77   
Meghalaya,2024-25,1751.0704,600.2886,59.3366,44.5336,5.3275,True,True,True,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2024-25-069a18518ae72a9-23127203.pdf,"Total 01                                               …     133,451.74       41,655.30   ","Total 02                                                …       55,420.17       4,608.69  ","Total 80                                               …       4,199.47        1,734.19   ","Total 201                                                        4,687.48          4,453.3",Total 202                                                        972.77          532.75   
